,Real Kd value,Predicted Kd value,Absolute error,Relative error,Relative error,Mean absolute error,Mean relative error
152,0.970000017,0.97,1.73E-08,1.78E-06,1.78E-06,,
153,0.831354855,0.8,0.031354855,3.771536865,3.771536865,,
154,0.570269392,0.56,0.010269392,1.800796611,1.800796611,,
155,0.506495831,0.5,0.006495831,1.28250437,1.28250437,,
156,0.464905429,0.45,0.014905429,3.206120762,3.206120762,,
157,0.427527588,0.43,0.002472412,0.578304748,0.578304748,,
158,0.712982581,0.7,0.012982581,1.820883318,1.820883318,,
159,0.946146104,0.95,0.003853896,0.407325664,0.407325664,,
160,0.727965628,0.7,0.027965628,3.841613824,3.841613824,,
161,0,0,0,#¡DIV/0!,0,,
162,0,0,0,#¡DIV/0!,0,,
163,0,0,0,#¡DIV/0!,0,,
164,0,0,0,#¡DIV/0!,0,,
165,0,0,0,#¡DIV/0!,0,,
166,0,0,0,#¡DIV/0!,0,,
167,0,0,0,#¡DIV/0!,0,,
168,0,0,0,#¡DIV/0!,0,,
169,0,0,0,#¡DIV/0!,0,,
170,0,0,0,#¡DIV/0!,0,,
171,0,0,0,#¡DIV/0!,0,,
172,0,0,0,#¡DIV/0!,0,,
173,0,0,0,#¡DIV/0!,0,,
174,0,0,0,#¡DIV/0!,0,,
175,0.970000044,0.97,4.38E-08,4.51E-06,4.51E-06,,
176,0.97000006,0.97,6.03E-08,6.22E-06,6.22E-06,,
177,0.970000002,0.97,2.37E-09,2.44E-07,2.44E-07,,
178,0.970000063,0.97,6.27E-08,6.46E-06,6.46E-06,,
179,0.970000061,0.97,6.09E-08,6.28E-06,6.28E-06,,
180,0.970000009,0.97,8.85E-09,9.12E-07,9.12E-07,,
181,0.970000015,0.97,1.46E-08,1.50E-06,1.50E-06,,
182,0.969999996,0.97,4.13E-09,4.25E-07,4.25E-07,,
183,0.961161888,0.97,0.008838112,0.919523744,0.919523744,,
184,0.944545863,0.95,0.005454137,0.577434847,0.577434847,,
185,0,0,0,#¡DIV/0!,0,,
186,0,0,0,#¡DIV/0!,0,,
187,0,0,0,#¡DIV/0!,0,,
188,0,0,0,#¡DIV/0!,0,,
189,0,0,0,#¡DIV/0!,0,,
190,0,0,0,#¡DIV/0!,0,,
191,0,0,0,#¡DIV/0!,0,,
192,0,0,0,#¡DIV/0!,0,,
193,0,0,0,#¡DIV/0!,0,,
194,0,0,0,#¡DIV/0!,0,,
195,0,0,0,#¡DIV/0!,0,,
196,0,0,0,#¡DIV/0!,0,,
197,0,0,0,#¡DIV/0!,0,,
198,0,0,0,#¡DIV/0!,0,,
199,0.970000039,0.97,3.85E-08,3.97E-06,3.97E-06,,
200,0.97000001,0.97,1.04E-08,1.07E-06,1.07E-06,,
201,0.970000055,0.97,5.55E-08,5.72E-06,5.72E-06,,
202,0.945546091,0.95,0.004453909,0.471040948,0.471040948,,
203,0.549185088,0.53,0.019185088,3.493373799,3.493373799,,
